,index,0
0,20100204,612992
1,20100205,750119
2,20100206,827937
3,20100211,1038107
4,20100212,1063900
5,20100213,467655
6,20100324,1871608
7,20100325,1299908
8,20100330,4115914
9,20100331,2883535
10,20100329,2200016
11,20100401,4146216
12,20100403,1990819
13,20100404,1773034
14,20100406,1749320
15,20100408,1681411
16,20100410,2673621
17,20100411,1464275
18,20100412,1017216
19,20100413,990387
20,20100415,1388536
21,20100416,1969192
22,20100417,1451886
23,20100418,1344940
24,20100421,1298366
25,20100423,1952581
26,20100425,372565
27,20100426,1343150
28,20100427,2110814
29,20100428,2092821
30,20100430,983184
31,20100429,1299619
32,20100501,861908
33,20100502,1245499
34,20100503,1497157
35,20100504,1610408
36,20100505,1215101
37,20100506,1649800
38,20100511,1763095
39,20100512,2149495
40,20100514,1613252
41,20100515,1166583
42,20100516,1788925
43,20100517,1384022
44,20100519,2036321
45,20100520,1686166
46,20100525,1628225
47,20100526,1476168
48,20100530,1018060
49,20100531,1325324
50,20100602,2261659
51,20100601,1300241
52,20100603,1974491
53,20100607,1262523
54,20100608,1859560
55,20100609,2306229
56,20100610,2712525
57,20100611,1366475
58,20100616,1946913
59,20100621,1846383
60,20100622,1437433
61,20100207,815830
62,20100318,1968601
63,20100319,3672229
64,20100320,3770266
65,20100322,2384420
66,20100323,1731066
67,20100405,1831226
68,20100409,2529488
69,20100414,1379073
70,20100419,1644989
71,20100422,1876781
72,20100507,2287455
73,20100508,438879
74,20100510,1496531
75,20100522,1047469
76,20100521,1327595
77,20100527,1018676
78,20100528,2130396
79,20100604,762985
80,20100618,4043876
81,20100619,1736808
82,20100208,1177289
83,20100209,1118513
84,20100210,707418
85,20100402,1910645
86,20100420,948211
87,20100424,512877
88,20100509,844756
89,20100518,1965905
90,20100529,758453
91,20100314,1418525
92,20100313,2005291
93,20100617,1371699
94,20100615,1024961
95,20100623,1449917
96,20100203,68881
97,20100316,1028690
98,20100315,738320
99,20100523,560418
100,20100524,429713
101,20100312,1360400
102,20100311,342207
103,20100321,2115311
104,20100513,678500
105,20100605,840052
106,20100620,688253
107,20100624,490247
108,20100317,792365
109,20100407,2124691
110,20100614,547020
111,20100217,79356
112,20100220,83560
113,20100218,87014
114,20100606,366302
115,20100215,95284
116,20100214,51246
117,20100216,82183
118,20100326,1236467
119,20100327,405764
120,20100328,22555
121,20100612,228895
122,20100221,124259
123,20100219,93854
124,20100222,105404
125,20100223,45971
126,20100613,9872
127,20090226,550453
128,20090227,771998
129,20090301,541491
130,20090302,786857
131,20090303,982585
132,20090418,1202072
133,20090420,1390948
134,20090423,2126867
135,20090424,1403846
136,20090425,582530
137,20090427,2201650
138,20090428,1579693
139,20090429,1708620
140,20090430,1212627
141,20090501,1332829
142,20090504,1501442
143,20090505,2189747
144,20090508,1438863
145,20090509,1216164
146,20090511,2355304
147,20090512,1803671
148,20090514,2061888
149,20090513,1930548
150,20090516,925665
151,20090521,1788290
152,20090522,1979216
153,20090525,1298998
154,20090526,2672569
155,20090528,1341288
156,20090530,2584388
157,20090529,2220996
158,20090602,1677071
159,20090603,621616
160,20090606,1774092
161,20090608,2859040
162,20090609,2649509
163,20090610,2717275
164,20090611,3567952
165,20090612,3356283
166,20090615,1953812
167,20090616,3867531
168,20090617,3142779
169,20090620,4194095
170,20090619,2144929
171,20090621,1663807
172,20090623,2822489
173,20090622,2966816
174,20090624,284431
175,20090627,4371107
176,20090626,1907399
177,20090629,2816868
178,20090630,1925859
179,20090701,1417397
180,20090702,4562454
181,20090703,2840362
182,20090228,854408
183,20090304,488202
184,20090305,248064
185,20090416,3302999
186,20090415,3972509
187,20090417,1546535
188,20090421,1021655
189,20090422,1616770
190,20090502,1239782
191,20090503,512809
192,20090506,1668412
193,20090520,956990
194,20090527,1694955
195,20090604,2142340
196,20090605,2519857
197,20090607,1004387
198,20090613,1894748
199,20090618,3149320
200,20090628,3248731
201,20090414,535248
202,20090419,1364979
203,20090507,2259098
204,20090517,545841
205,20090601,907090
206,20090515,1293935
207,20090523,1176258
208,20090531,1740445
209,20090704,1484624
210,20090426,897117
211,20090207,661222
212,20090206,578519
213,20090614,344715
214,20090510,1363480
215,20090524,1211869
216,20090705,244049
217,20090518,288809
218,20090519,44658
219,20090706,6390
220,20090208,207561
221,20090625,54823
222,20090209,13558
223,20090716,125066
224,20090718,85254
225,20090719,67612
226,20090717,109783
227,20090715,99683
228,20090411,43060
229,20090720,29925
230,20090413,17866
231,20090412,51442
232,20090210,3037
233,20140119,2234141
234,20140120,2295970
235,20140121,1205751
236,20140129,1529679
237,20140201,2902240
238,20140203,3330860
239,20140205,6075207
240,20140204,2177379
241,20140206,4766082
242,20140207,4506021
243,20140208,4288398
244,20140209,3734622
245,20140210,4033355
246,20140211,5795366
247,20140212,6165619
248,20140213,5589354
249,20140214,5176201
250,20140215,5356287
251,20140216,4274143
252,20140217,6385532
253,20140218,4101826
254,20140219,4336693
255,20140220,5299365
256,20140221,4243969
257,20140222,5073999
258,20140223,3530726
259,20140224,6367285
260,20140225,2778501
261,20140227,308885
262,20140107,667324
263,20140124,3568188
264,20140126,946288
265,20140226,1502719
266,20140108,484825
267,20140109,274130
268,20140110,190121
269,20140114,57060
270,20140106,238918
271,20140118,540489
272,20140125,2573671
273,20140202,2873653
274,20140318,247441
275,20140313,468834
276,20140331,137336
277,20140401,67247
278,20140317,308401
279,20140323,188568
280,20140127,836108
281,20140131,2886870
282,20140130,2144505
283,20140322,193386
284,20140128,1391641
285,20140228,189113
286,20140301,75071
287,20140302,22265
288,20140326,88057
289,20140315,420163
290,20140314,477690
291,20140330,99078
292,20140316,771526
293,20140327,154694
294,20140310,211445
295,20140319,266811
296,20140402,87784
297,20140111,56004
298,20140312,577831
299,20140113,67921
300,20140117,41542
301,20140320,192068
302,20140324,109116
303,20140325,101828
304,20140328,84865
305,20140321,145105
306,20140329,101199
307,20140403,39655
308,20140311,584900
309,20140405,24980
310,20140115,52045
311,20140122,33847
312,20140123,37873
313,20140112,51843
314,20140116,34984
315,20140404,46243
316,20140406,12085
317,20140303,302
318,20150123,576630
319,20150124,1657367
320,20150125,2321520
321,20150126,1649721
322,20150205,3151217
323,20150208,1514439
324,20150209,2510109
325,20150211,1766713
326,20150212,1888793
327,20150214,2155218
328,20150218,960824
329,20150224,483870
330,20150226,3004688
331,20150227,1252779
332,20150301,2172692
333,20150302,5964474
334,20150303,4556689
335,20150304,4788843
336,20150305,4181589
337,20150308,4163379
338,20150307,4903112
339,20150306,6365367
340,20150309,5737006
341,20150310,5924006
342,20150311,5782754
343,20150312,5052380
344,20150313,6884512
345,20150314,4465753
346,20150315,4789845
347,20150317,3480572
348,20150319,1223694
349,20150318,2732046
350,20150206,3077728
351,20150210,2156587
352,20150213,1710280
353,20150215,1874308
354,20150225,1879671
355,20150316,3944010
356,20150330,102822
357,20150324,162187
358,20150322,404137
359,20150326,205090
360,20150329,145587
361,20150331,78123
362,20150325,161216
363,20150321,417027
364,20150323,279457
365,20150320,478480
366,20150328,142992
367,20150327,146559
368,20150207,2077248
369,20150228,1625280
370,20150216,910145
371,20150127,359653
372,20150217,403911
373,20150219,297436
374,20150220,91829
375,20150223,33905
376,20150122,21590
377,20150204,3764
378,20160119,1059218
379,20160122,1340817
380,20160126,2920225
381,20160127,3340175
382,20160128,3222060
383,20160201,3486963
384,20160203,3361953
385,20160202,3129730
386,20160205,3960802
387,20160207,840682
388,20160208,4805553
389,20160209,4018898
390,20160210,4677514
391,20160211,4763316
392,20160213,3967168
393,20160215,3627685
394,20160216,4117526
395,20160218,5194202
396,20160217,4363733
397,20160221,2896437
398,20160220,4312013
399,20160222,2746895
400,20160223,3554686
401,20160224,3755090
402,20160225,1408693
403,20160124,151332
404,20160120,1500417
405,20160121,2013432
406,20160131,3677504
407,20160130,3060447
408,20160204,2391696
409,20160212,3295884
410,20160214,3993853
411,20160206,1578833
412,20160219,4589947
413,20160129,3061723
414,20160123,510944
415,20160125,189556
416,20160226,66992
417,20160227,17817
418,20160228,14787
419,20120224,388325
420,20120227,483498
421,20120301,914589
422,20120302,794157
423,20120303,619199
424,20120304,561653
425,20120331,1034445
426,20120401,8094883
427,20120402,5598355
428,20120403,6254147
429,20120404,4896901
430,20120405,5070650
431,20120406,5738449
432,20120407,6908140
433,20120408,7203129
434,20120409,6598987
435,20120410,6872314
436,20120411,7015427
437,20120412,6286517
438,20120413,6948627
439,20120414,7918878
440,20120415,7137801
441,20120416,5122024
442,20120417,3135919
443,20120225,466034
444,20120228,666777
445,20120229,614888
446,20120306,274635
447,20120418,1360065
448,20120305,164612
449,20120717,593291
450,20120223,87528
451,20120226,353723
452,20120309,14625
453,20120718,437079
454,20120421,27377
455,20120419,25258
456,20120423,76882
457,20120719,278325
458,20120720,189021
459,20120722,118723
460,20120723,91543
461,20120420,14923
462,20120422,66950
463,20120427,132894
464,20120426,82299
465,20120428,91513
466,20120424,75467
467,20120425,84631
468,20120721,115937
469,20120724,76888
470,20120727,81224
471,20120728,50056
472,20120725,70620
473,20120726,89560
474,20120308,5370
475,20120729,6181
476,20120802,2328
477,20120805,948
478,20120731,1379
479,20120803,3007
480,20120429,76826
481,20120430,62335
482,20120310,12637
483,20120501,4810
484,20120730,3155
485,20120806,3352
486,20120804,736
487,20120801,1356
488,20120502,1811
489,20120808,1378
490,20120807,1124
491,20120312,234
492,20120313,16
493,20060630,311363
494,20060617,232227
495,20060702,283898
496,20061002,943729
497,20061003,1047662
498,20061004,1103635
499,20061005,97143
500,20061011,858233
501,20061013,906373
502,20061014,524424
503,20061015,1321132
504,20061017,606425
505,20061021,1185137
506,20061022,1017569
507,20061024,689795
508,20061026,1314146
509,20061027,1719997
510,20061030,672098
511,20061101,910871
512,20061102,301739
513,20061107,1293357
514,20061106,155767
515,20061114,687789
516,20061118,1344842
517,20061204,628537
518,20061215,1031559
519,20060627,214066
520,20060611,275479
521,20060615,245547
522,20060618,280897
523,20060623,209323
524,20060710,62488
525,20061016,728355
526,20061029,391773
527,20061109,372007
528,20061108,609558
529,20061201,1324980
530,20061202,476000
531,20061125,779861
532,20061214,1185018
533,20061206,733485
534,20060609,258010
535,20060626,248513
536,20061009,829455
537,20061010,524815
538,20061012,590279
539,20061019,302183
540,20061023,1121234
541,20061031,1061164
542,20061130,816190
543,20061120,798918
544,20061119,472021
545,20061128,164533
546,20061122,774826
547,20061129,905897
548,20061126,469691
549,20061213,685761
550,20061205,563171
551,20061018,412082
552,20061113,1204045
553,20061124,288271
554,20061209,1092951
555,20060628,253815
556,20060612,174086
557,20061028,116716
558,20061103,910901
559,20061117,1053051
560,20061203,848973
561,20061212,93433
562,20061211,433463
563,20060608,230994
564,20060629,266832
565,20060620,211699
566,20060929,104819
567,20061104,723589
568,20061121,586842
569,20061001,550165
570,20061116,541966
571,20060616,237207
572,20060621,225030
573,20061207,1106434
574,20060711,82237
575,20061123,388355
576,20061208,632115
577,20060930,130718
578,20060619,307649
579,20061025,419728
580,20061115,121094
581,20060928,2964
582,20061020,253325
583,20061216,1077680
584,20060622,194874
585,20060624,107899
586,20060703,45550
587,20060610,241197
588,20060625,205641
589,20060707,11449
590,20060708,16619
591,20061006,172547
592,20060701,289877
593,20061007,90312
594,20061217,5424
595,20060613,72704
596,20061105,13620
597,20061008,17671
598,20061210,95425
599,20060704,818
600,20061110,1478
601,20060706,3073
602,20060712,20
603,20080419,228879
604,20080425,164148
605,20080429,195855
606,20080506,78696
607,20080513,83042
608,20080813,735802
609,20080822,424760
610,20080823,230883
611,20080826,2923015
612,20080831,366182
613,20080907,453498
614,20080912,1202427
615,20080919,538456
616,20081003,1114030
617,20081006,1274650
618,20081013,1085440
619,20081016,701569
620,20081023,1059816
621,20081126,270792
622,20081206,2746640
623,20081209,2139049
624,20081208,2049747
625,20081212,1204715
626,20081218,436723
627,20081223,2256664
628,20090105,444573
629,20090113,690211
630,20090114,2645855
631,20090115,877713
632,20090116,3900291
633,20080404,163081
634,20080406,216963
635,20080430,242382
636,20080507,191836
637,20080814,998906
638,20080825,887955
639,20080824,650769
640,20080828,1513811
641,20080906,1310477
642,20080905,995598
643,20080914,1085671
644,20080915,1113592
645,20080916,1498286
646,20081010,979461
647,20081014,968444
648,20081018,1367124
649,20081202,1712077
650,20081204,1392607
651,20081205,1262049
652,20081220,466035
653,20081222,3059182
654,20081224,1901429
655,20090117,1219399
656,20080421,163846
657,20080427,123998
658,20080505,139959
659,20080511,173065
660,20080811,645602
661,20080812,697378
662,20080817,606404
663,20080821,425780
664,20080908,195065
665,20081008,2681609
666,20081009,586687
667,20081011,984082
668,20081015,895362
669,20081120,694175
670,20081125,981648
671,20081211,521947
672,20081213,769126
673,20081216,970175
674,20081217,2705775
675,20081221,1104895
676,20080412,79340
677,20080422,204162
678,20080508,164320
679,20080806,1351917
680,20080829,2166107
681,20080918,1014552
682,20081007,421016
683,20081017,536274
684,20081124,594524
685,20081219,913575
686,20081225,2157951
687,20090106,1338704
688,20080402,168457
689,20080411,96211
690,20080426,167042
691,20080509,149949
692,20080911,651288
693,20081121,893794
694,20081122,225754
695,20081201,873435
696,20081203,626566
697,20081210,493225
698,20090118,996621
699,20080807,1347609
700,20080816,733206
701,20080819,388301
702,20080913,1210897
703,20080512,123898
704,20080815,498867
705,20081002,485941
706,20080415,107500
707,20080510,122018
708,20080820,256116
709,20080827,394027
710,20081005,269409
711,20081004,328393
712,20081128,363384
713,20080423,179226
714,20080428,195973
715,20080502,116331
716,20080920,958362
717,20081022,1167727
718,20080414,63884
719,20080809,1017833
720,20080818,1343895
721,20081012,272609
722,20081123,7374
723,20090107,927739
724,20080501,173755
725,20080810,753227
726,20080921,463842
727,20080515,90334
728,20080901,360636
729,20081021,877445
730,20080917,698848
731,20080418,162064
732,20080830,511343
733,20080922,159416
734,20080923,8992
735,20080403,151221
736,20081207,922839
737,20080405,84929
738,20080424,193274
739,20090112,350593
740,20080331,119496
741,20081020,297888
742,20081214,92293
743,20080417,181155
744,20080909,95552
745,20081129,1245117
746,20081130,105614
747,20080808,359675
748,20080401,176922
749,20080407,132448
750,20080910,30962
751,20090108,117228
752,20080902,25249
753,20081019,84234
754,20080503,71136
755,20080416,139841
756,20080518,229880
757,20080519,142612
758,20080520,86579
759,20080522,80320
760,20080521,78359
761,20080516,69695
762,20080517,105241
763,20080514,138721
764,20081226,84100
765,20080410,55556
766,20081127,26478
767,20080504,62290
768,20080413,50250
769,20081215,8371
770,20080420,9323
771,20081024,9170
772,20080523,11967
773,20081228,884
774,20080408,9350
775,20081230,74
776,20081229,238
777,20090103,60
778,20090101,100
779,20090102,72
780,20081227,539
781,20080903,86
782,20090104,83
783,20081231,75
784,20110323,355894
785,20110325,558050
786,20110327,647625
787,20110331,513840
788,20110412,1861516
789,20110414,1712545
790,20110428,2669803
791,20110429,1582302
792,20110430,1492204
793,20110503,794322
794,20110510,1968639
795,20110511,2011660
796,20110512,1330384
797,20110516,1417224
798,20110523,989700
799,20110525,1114406
800,20110526,1762054
801,20110527,1339206
802,20110531,1411633
803,20110601,2464258
804,20110604,1067799
805,20110605,1289571
806,20110606,1934905
807,20110607,1279730
808,20110608,1640000
809,20110609,2077755
810,20110610,1246249
811,20110613,1699991
812,20110614,1223516
813,20110615,1717567
814,20110616,2314821
815,20110617,1253006
816,20110618,1371358
817,20110619,1854242
818,20110620,1994703
819,20110621,947155
820,20110623,2077912
821,20110624,965495
822,20110626,2141107
823,20110627,1124289
824,20110630,2535583
825,20110629,1285120
826,20110701,996065
827,20110703,736491
828,20110322,470135
829,20110326,618293
830,20110401,315363
831,20110413,2388248
832,20110415,1232436
833,20110426,85900
834,20110427,1671220
835,20110508,1373074
836,20110509,345853
837,20110515,1406103
838,20110517,664292
839,20110518,870421
840,20110524,1228509
841,20110528,1147995
842,20110529,354734
843,20110530,319540
844,20110603,1033536
845,20110612,1743820
846,20110625,1519324
847,20110702,492386
848,20110324,511305
849,20110329,735633
850,20110419,1471294
851,20110418,2230876
852,20110501,1263289
853,20110506,1207574
854,20110519,1249030
855,20110602,997176
856,20110507,510846
857,20110514,1086451
858,20110522,421634
859,20110622,1303928
860,20110628,1897134
861,20110321,177950
862,20110330,572789
863,20110417,618607
864,20110328,533750
865,20110502,835282
866,20110416,1384051
867,20110505,716092
868,20110504,588197
869,20110513,540521
870,20110520,719728
871,20110521,704587
872,20110611,1236317
873,20110704,183584
874,20110830,337561
875,20110831,87312
876,20110907,59569
877,20110901,16040
878,20110902,12501
879,20110903,25538
880,20110420,88759
881,20110317,210780
882,20110316,160780
883,20110318,174184
884,20110315,77998
885,20110319,107707
886,20110402,11743
887,20110320,141674
888,20110904,71206
889,20110905,52707
890,20110906,23585
891,20110705,217
892,20110403,143
893,20130228,1060093
894,20130301,1423603
895,20130302,1329845
896,20130304,693097
897,20130308,7602511
898,20130309,6890298
899,20130310,5450968
900,20130311,5795150
901,20130316,4188621
902,20130315,2624175
903,20130318,3328638
904,20130317,3063630
905,20130319,6150566
906,20130320,3630488
907,20130321,5285720
908,20130323,6096046
909,20130324,4755078
910,20130326,5881611
911,20130325,5360488
912,20130327,4654944
913,20130328,4638696
914,20130329,4409728
915,20130330,3745273
916,20130331,4275404
917,20130401,4559078
918,20130402,4534367
919,20130403,5189895
920,20130404,5314238
921,20130406,5756018
922,20130407,5719921
923,20130408,6484984
924,20130409,6882642
925,20130410,7549637
926,20130411,4214435
927,20130412,2670353
928,20130303,1090603
929,20130313,1187103
930,20130322,3964191
931,20130405,4754019
932,20130422,362009
933,20130420,802272
934,20130421,394184
935,20130418,502624
936,20130419,525488
937,20130417,461047
938,20130312,3678844
939,20130314,1063631
940,20130425,127532
941,20130414,308077
942,20130415,93707
943,20130413,516430
944,20130306,51107
945,20130423,240648
946,20130416,264876
947,20130424,217926
948,20130428,82151
949,20130429,51668
950,20130426,96463
951,20130427,81063
952,20130305,315
953,20130307,143
954,20070309,609166
955,20070323,668789
956,20070326,566911
957,20070331,677894
958,20070401,724916
959,20070408,611712
960,20070411,501795
961,20070418,787894
962,20070420,603007
963,20070421,776619
964,20070426,923793
965,20070501,674354
966,20070428,1069128
967,20070509,1005935
968,20070513,596592
969,20070519,705593
970,20070525,870756
971,20070601,810628
972,20070605,943630
973,20070608,958747
974,20070611,745700
975,20070614,518188
976,20070613,772592
977,20070619,500029
978,20070620,730972
979,20070622,554860
980,20070702,521987
981,20070704,1200548
982,20070709,1251573
983,20070302,1696795
984,20070315,443455
985,20070320,529772
986,20070328,794638
987,20070402,652685
988,20070409,439522
989,20070412,660909
990,20070424,1035765
991,20070427,1094239
992,20070430,621200
993,20070505,679632
994,20070512,745873
995,20070521,645059
996,20070522,732528
997,20070618,582479
998,20070621,975392
999,20070625,1025071
1000,20070626,517608
1001,20070629,643298
1002,20070703,1035116
1003,20070706,673318
1004,20070707,663793
1005,20070303,454262
1006,20070304,18605
1007,20070316,674536
1008,20070325,423733
1009,20070330,738325
1010,20070407,447412
1011,20070413,846221
1012,20070417,1219504
1013,20070429,700697
1014,20070504,653873
1015,20070511,733890
1016,20070514,1018740
1017,20070516,898356
1018,20070515,1330519
1019,20070520,588382
1020,20070523,1097872
1021,20070603,958409
1022,20070604,824126
1023,20070607,560342
1024,20070628,853178
1025,20070705,954540
1026,20070711,407230
1027,20070405,1062432
1028,20070414,554138
1029,20070422,562773
1030,20070423,936759
1031,20070510,868295
1032,20070518,986307
1033,20070528,1229416
1034,20070531,645351
1035,20070610,897955
1036,20070708,1943479
1037,20070406,691123
1038,20070425,826453
1039,20070527,672333
1040,20070530,1018093
1041,20070612,658135
1042,20070624,895015
1043,20070627,476482
1044,20070701,819882
1045,20070710,1322302
1046,20070321,448916
1047,20070404,780722
1048,20070410,529487
1049,20070524,953360
1050,20070526,604066
1051,20070529,760779
1052,20070617,421844
1053,20070623,402682
1054,20070310,237515
1055,20070319,557574
1056,20070327,628402
1057,20070403,491589
1058,20070416,611070
1059,20070630,326863
1060,20070616,1156158
1061,20070311,226677
1062,20070602,831233
1063,20070615,654733
1064,20070308,369303
1065,20070503,1114131
1066,20070606,532580
1067,20070609,803216
1068,20070419,537776
1069,20070502,856427
1070,20070507,20387
1071,20070508,913687
1072,20070329,313339
1073,20070517,973291
1074,20070415,674128
1075,20070322,322234
1076,20070324,734528
1077,20070506,259781
1078,20070312,68991
1079,20070313,41322
1080,20070318,170123
1081,20070317,237979
1082,20070301,91704
1083,20070305,6425
1084,20070712,401
